date ,invoiceId ,description ,amount ,vat ,total ,remark ,supplier ,published ,excelRecId ,project ,company ,group ,year 
11/07/2019,4889052,"מקדמה למגרש פ""ת בזכיה ",1286325,218675,1505000,  ,מגרש ,F ,  ,גדות שעריה ,יזמות ,62,2019
01/02/2020,1934,מודד - מפה מצבית בריכה ,1500,255,1755,העברה בנקאית 02.01.20 ,עומר מודד ,T ,15161,  ,יזמות ,61,2020
01/05/2020,  ,"מס רכישה מגרש פ""ת ",1006246,  ,1006246,  ,מגרש ,F ,  ,גדות שעריה ,יזמות ,62,2020
01/08/2020,1022,מזגנים - בית 6 ,10684,1816,12500,העברה בנקאית 03.03.20 ,מזגנים - אטלס ,T ,15155,גדות מתן ,יזמות ,62,2020
01/08/2020,440854819,בזק - 19-12 ,75,13,88,  ,בזק ,T ,15189,  ,יזמות ,62,2020
01/14/2020 ,43,שיש עבור מטבח שקד + דודו ,25000,4250,29250,שולם בשיק 10528 סך של 28665 לאחר ניקוי במקור ,שיש אבו עאלי ,T ,15152,גדות מתן ,יזמות ,62,2020
01/15/2020 ,20000004,משה אברהמי - אינטרקום שקד מן ,2100,  ,2100,העברה בנקאית ,שונות ,T ,15144,גדות מתן ,יזמות ,62,2020
01/16/2020 ,3042,נוטריון לבנק שעריה ,365,62,427,שולם במזומן ,שונות ,T ,15139,גדות שעריה ,יזמות ,62,2020
01/16/2020 ,50411,איילת - תשלום 1 ,15000,2550,17550,שיק 10527 - תאריך 10.01.20 ,אדריכלות - איילת ,F ,15147,גדות שעריה ,יזמות ,62,2020
01/21/2020 ,495,"לדים לבית 6 - נקנה ע""י קאסם ",550,  ,550,  ,שונות ,T ,62,גדות מתן ,ביצועים ,62,2020
01/23/2020 ,5565364,מקלחונים בית 6 ,3765,  ,3765,  ,פרפקט ליין ,T ,15158,גדות מתן ,יזמות ,62,2020
01/26/2020 ,529,משה התקנת מקלחונים בית6 ,900,  ,900,העברה ננקאית 04.02.2020 ,שונות ,T ,18148,גדות מתן ,ביצועים ,62,2020
01/28/2020 ,1056,פס לדים לבית 6 ,940,160,1100,אשראי ,שונות ,T ,65,גדות מתן ,ביצועים ,62,2020
01/28/2020 ,420300102,ארכה - 20-01 ,484,82,567,"שולם מררוכז ינואר20 - ספט20 סך 4,506.90 באשראי - 17.12.20 קבלה - 305404 ",ארכה ,F ,15227,גדות מתן ,יזמות ,63,2020
01/30/2020 ,158612,ג'יוסי - 20-01 ,6852,1165,8017,"שיק 10534 עס 35,000 ש""ח עבור חשבוניות 11/19 - 08-20 ",ג'יוסי ,T ,15392,גדות מתן ,יזמות ,64,2020
01/31/2020 ,76,עבודות מחפרון - בית 6 ,2550,434,2984,העברה בנקאית - 03.03.2020 ,שונות ,T ,15230,גדות מתן ,יזמות ,63,2020
02/02/2020,4889040,"תשלום יתרה למגרש פ""ת ",15484445,2632356,18116801,  ,מגרש ,T ,  ,גדות שעריה ,יזמות ,64,2020
