company,project,description ,amount ,vat ,total ,group ,date ,supplier ,invoiceId ,excelRecId ,remark ,published ,year 
ביצועים,נווה אליעזר,הערכה נותר לתשלום אטלס מזגנים -,120000,,120000,101,2023-04-05T00:00:00.000Z,מזגנים - אטלס,,,הערכה -נותר לתשלום,FALSE,2023
ביצועים,נווה אליעזר,איטום אריאלי - הערכה נותר לתשלום,100000,,100000,101,2023-04-05T00:00:00.000Z,,,,איטום אריאלי - הערכה נותר לתשלום,FALSE,2023
ביצועים,נווה אליעזר,פרקט - נווה אליעזר,114185,19411.45,133596,101,2023-04-09T00:00:00.000Z,יניב פרקטים,50094,,"שני שיקים שווים בניכוי 2% במקור ע""ס כולל 130,924 ש""ח",FALSE,2023
ביצועים,הוצאות א,העברה הלוואה לאייל 13,11111,,13000,101,2023-04-04T00:00:00.000Z,,,,,FALSE,2023
ביצועים,נווה אליעזר,יוסי רחמים - 23-02,3300,561,3861,101,2023-02-28T00:00:00.000Z,יוסי רחמים,10898,10434,,TRUE,2023
ביצועים,נווה אליעזר,יוסי רחמים - 23-03,1100,187,1287,101,2023-03-31T00:00:00.000Z,יוסי רחמים,10898,,,TRUE,2023
ביצועים,,תיקון רכב,500,85,585,101,2023-04-13T00:00:00.000Z,,807,,שולם באשראי,FALSE,2023
ביצועים,נווה אליעזר,"דלתות רינגלר - גמ""ח",58709,9980.53,68690,101,2023-03-31T00:00:00.000Z,דלתות רינגלר,53715,,שיק 10690 לתאריך 31.05.23,TRUE,2023
יזמות,גדות שעריה,הדפסות נבמבר דצמבר 22,2288.03,388.9651,2677,101,2023-04-17T00:00:00.000Z,היפר גרף הדפסות,14666,,,FALSE,2023
ביצועים,נווה אליעזר,שווקי - מעקה זכוכית,43692,7427.64,51120,101,2023-04-16T00:00:00.000Z,,394,,"שיק 10691 ע""ס 48,564 ש""ח לאחר ניקוי 5% במקור",FALSE,2023
יזמות,גדות שעריה,איילת - תשלום 5,45000,7650,52650,101,2023-04-21T00:00:00.000Z,אדריכלות - איילת,50669,,"העברה בנקאית 50% ועדה מחוזית ע""פ הסכם",FALSE,2023
יזמות,גדות שעריה,חידוש מפה מצבית,1000,170,1170,101,2023-01-30T00:00:00.000Z,מודד לאוניד,74690,,העברה בנקאית 30.01.23,FALSE,2023
ביצועים,ג. התחמושת 2,עסיס אייל - בדיקת מתקן חשמל ג. התחשמושת 2,600,102,702,101,2023-02-01T00:00:00.000Z,עסיס אייל,6256,,העברה בנקאית 02.02.23,TRUE,2023
ביצועים,הוצאות אלי,נרות חשמל,85.47,14.5299,100,101,2023-04-04T00:00:00.000Z,,24131,,אשראי,FALSE,2023
ביצועים,גשר,רוני מדידות לטופס גמר בגשר,5000,850,5850,101,2023-04-23T00:00:00.000Z,מודד רוני סטף,5278,,,TRUE,2023
ביצועים,סטף,רוני מדידות ביער סטף לפני מסירת שלד,5000,850,5850,101,2023-04-23T00:00:00.000Z,מודד רוני סטף,5278,,,TRUE,2023
ביצועים,גשר,בדיקת בטונים,300,51,351,101,2022-10-31T00:00:00.000Z,סיסטם,289101,,"אשראי 16,033 ש""ח תאריך 24.04.23 עבור 298637 298313 298312 297760 294198 291931 291689 291168 289101",TRUE,2022
ביצועים,,ריצוף השלמות,1753,298,2051,101,2023-04-16T00:00:00.000Z,פרפקט ליין,5586149,,אשראי,TRUE,2023
ביצועים,ג. התחמושת 2,אלומיניום - תוספות חלון,1000,170,1170,101,2023-01-13T00:00:00.000Z,איציק אלומיניום,1552,,"העברה בנקאית ע""ס 6,903 ש""ח - 01.05.23",TRUE,2023
ביצועים,גשר,אלומיניום - תוספות בגשר - גגון,1200,204,1404,101,2023-04-17T00:00:00.000Z,איציק אלומיניום,1559,,"העברה בנקאית ע""ס 6,903 ש""ח - 01.05.23",TRUE,2023
ביצועים,גשר,אלומיניום - תוספות בגשר - גגון,1200,204,1404,101,2023-04-17T00:00:00.000Z,איציק אלומיניום,1559,,"העברה בנקאית ע""ס 6,903 ש""ח - 01.05.23",TRUE,2023
ביצועים,נווה אליעזר,פיגום נווה אליעזר - זיכוי,-2000,-340,-2340,100,2023-02-15T00:00:00.000Z,פיגום י.ש,910072,10930,"910072העברה 17,550 ש""ח 23.03.23 עבור חשבוניות 696, 682 וזיכוי",TRUE,2023
ביצועים,גשר,"נגרות גמ-ח בבלי, גשר, נווה, מעליות, תחמושת",58000,9860,67860,100,2023-03-09T00:00:00.000Z,נגר אלסוריקי,441,10933,"שיק 10671 ע""ס 32,234 ש""ח 30.05.23 + שיק 10672 ע""ס 32,233 ש""ח 30.06.23",TRUE,2023
ביצועים,נווה אליעזר,אלומיניום - נווה אליעזר תשלום 4,40000,,40000,100,2023-03-13T00:00:00.000Z,אחים מרואן,938,10921,שיק 10673 15.04.23,TRUE,2023
ביצועים,נווה אליעזר,חמיס - נווה אליעזר,2900,493,3393,100,2023-03-16T00:00:00.000Z,אור הארץ,2248,10944,שיק 10674,TRUE,2023
ביצועים,נווה אליעזר,מאמין - תוספות חשמל,5000,850,5850,100,2023-03-20T00:00:00.000Z,מאמין חשמלאי אחים עתיד,232,10949,"העברה 20.03.23 ע""ס 12,595 ש""ח (כולל 6,745 מחשבונית 222)",TRUE,2023
ביצועים,גשר,מחצית שניה - מזגנים,42968.38,7304.62,50273,100,2023-01-11T00:00:00.000Z,מזגנים - אטלס,5629,10809,"שיק 10686 ע""ס 67,873 ש""ח עבור חשבוניות 5526, 5629, 5630 תאריך 30.05.23",FALSE,2023
ביצועים,נווה אליעזר,מזגנים,13931.62,2368.38,16300,100,2023-01-11T00:00:00.000Z,מזגנים - אטלס,5630,10812,"שיק 10686 ע""ס 67,873 ש""ח עבור חשבוניות 5526, 5629, 5630 תאריך 30.05.23",TRUE,2023
ביצועים,,ניאגרה,256.41,43.59,300,100,2023-02-28T00:00:00.000Z,מעודד צבעים,7009718,10954,,TRUE,2023
ביצועים,צייטלין 2,ברזל למעליות,18235.04,3099.96,21335,100,2022-09-30T00:00:00.000Z,ג'יוסי,176212,10774,"שיק 10677 ע""ס 37,000 ש""ח עבור חשבוניות 6797, 6212, 9266",TRUE,2022
ביצועים,צייטלין 2,זיכוי עבור ברזל,-1882.91,-320.09,-2203,100,2023-02-28T00:00:00.000Z,ג'יוסי,179266,10957,"שיק 10677 ע""ס 37,000 ש""ח עבור חשבוניות 6797, 6212, 9266",TRUE,2023
ביצועים,גשר,דשא עוז,11300,1921,13221,100,2023-01-15T00:00:00.000Z,,27223,10924,,TRUE,2023
ביצועים,גשר,בדיקת תקרות,2605.98,443.02,3049,100,2022-11-30T00:00:00.000Z,סיסטם,291168,10901,"אשראי 16,033 ש""ח תאריך 24.04.23 עבור 298637 298313 298312 297760 294198 291931 291689 291168 289101",TRUE,2022
ביצועים,צייטלין 2,בדיקות בטון,510,86.7,596.7,100,2022-11-30T00:00:00.000Z,סיסטם,291689,10904,"אשראי 16,033 ש""ח תאריך 24.04.23 עבור 298637 298313 298312 297760 294198 291931 291689 291168 289101",TRUE,2022
ביצועים,בבלי,בדיקת תקרות,2880,489.6,3369.6,100,2022-11-30T00:00:00.000Z,סיסטם,291931,10907,"אשראי 16,033 ש""ח תאריך 24.04.23 עבור 298637 298313 298312 297760 294198 291931 291689 291168 289101",TRUE,2022
ביצועים,בבלי,בדיקת תיקרה,1000,170,1170,100,2022-12-31T00:00:00.000Z,סיסטם,294198,10910,"אשראי 16,033 ש""ח תאריך 24.04.23 עבור 298637 298313 298312 297760 294198 291931 291689 291168 289101",TRUE,2022
