_id,project,flatId,__v,createdAt,updatedAt
66fd59bae4a78f4a50f4cd39,"גדות פ""ת",31,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd47,"גדות פ""ת",45,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd21,"גדות פ""ת",7,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd4a,"גדות פ""ת",48,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd1c,"גדות פ""ת",2,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd23,"גדות פ""ת",9,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd38,"גדות פ""ת",30,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd2d,"גדות פ""ת",19,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd3b,"גדות פ""ת",33,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd4b,"גדות פ""ת",49,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd36,"גדות פ""ת",28,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd45,"גדות פ""ת",43,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd4e,"גדות פ""ת",52,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd2a,"גדות פ""ת",16,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd42,"גדות פ""ת",40,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd29,"גדות פ""ת",15,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd58,"גדות פ""ת",62,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd2f,"גדות פ""ת",21,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd22,"גדות פ""ת",8,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd2c,"גדות פ""ת",18,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd44,"גדות פ""ת",42,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd51,"גדות פ""ת",55,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd25,"גדות פ""ת",11,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd27,"גדות פ""ת",13,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd55,"גדות פ""ת",59,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd56,"גדות פ""ת",60,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd4d,"גדות פ""ת",51,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd4f,"גדות פ""ת",53,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd30,"גדות פ""ת",22,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd3d,"גדות פ""ת",35,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd43,"גדות פ""ת",41,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd1f,"גדות פ""ת",5,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd1e,"גדות פ""ת",4,0,02/05/2026,02/05/2026
66fd59bae4a78f4a50f4cd3f,"גדות פ""ת",37,0,02/05/2026,02/05/2026
